Estacao,Data,Hora,TempMaxima,TempMinima,Temp Comp Media,
82795,27/06/2016,1200,,18.5,,
82795,28/06/2016,0000,27.4,,21.66,
82795,28/06/2016,1200,,17.8,,
82795,29/06/2016,0000,28,,22.34,
82795,29/06/2016,1200,,19.7,,
82795,30/06/2016,0000,28.2,,22.14,
82795,30/06/2016,1200,,17.4,,
82795,01/07/2016,0000,26.3,,21.66,
82795,01/07/2016,1200,,17.9,,
82795,02/07/2016,0000,26.2,,21.72,
82795,02/07/2016,1200,,18.5,,
82795,03/07/2016,0000,27.1,,21.54,
82795,03/07/2016,1200,,17.1,,
82795,04/07/2016,0000,27.4,,22.26,
82795,04/07/2016,1200,,18.6,,
82795,05/07/2016,0000,28.8,,22.56,
82795,05/07/2016,1200,,18.5,,
82795,06/07/2016,0000,28,,22.68,
82795,06/07/2016,1200,,19.1,,
82795,07/07/2016,0000,28.9,,22.94,
82795,07/07/2016,1200,,19.1,,
82795,08/07/2016,1200,,19.5,,
82795,09/07/2016,0000,27.6,,22.34,
82795,09/07/2016,1200,,19.3,,
82795,10/07/2016,0000,28.4,,22.32,
82795,10/07/2016,1200,,18.5,,
82795,11/07/2016,0000,29.6,,22.94,
82795,11/07/2016,1200,,18.8,,
82795,12/07/2016,0000,29.4,,22.84,
82795,12/07/2016,1200,,18.8,,
82795,13/07/2016,0000,28.9,,21.8,
82795,13/07/2016,1200,,18.1,,
82795,14/07/2016,0000,28.4,,22.2,
82795,14/07/2016,1200,,17.8,,
82795,15/07/2016,0000,28.4,,22.2,
82795,15/07/2016,1200,,17.8,,
82795,16/07/2016,0000,28.8,,21.54,
82795,16/07/2016,1200,,16.3,,
82795,17/07/2016,0000,30.4,,23.1,
82795,17/07/2016,1200,,18.8,,
82795,18/07/2016,0000,29.4,,22.78,
82795,18/07/2016,1200,,18.8,,
82795,19/07/2016,0000,29.7,,22.68,
82795,19/07/2016,1200,,18.9,,
82795,20/07/2016,0000,28.3,,21.88,
82795,20/07/2016,1200,,18,,
82795,21/07/2016,0000,29.3,,21.98,
82795,21/07/2016,1200,,16.8,,
82795,22/07/2016,0000,27.2,,22.16,
82795,22/07/2016,1200,,15.4,,
82795,23/07/2016,0000,29.1,,22.38,
82795,23/07/2016,1200,,17.1,,
82795,24/07/2016,0000,27.6,,21.68,
82795,24/07/2016,1200,,17.2,,
82795,25/07/2016,0000,28,,22.14,
82795,25/07/2016,1200,,17.8,,
82795,26/07/2016,0000,28.4,,22.04,
82795,26/07/2016,1200,,17.6,,
82795,27/07/2016,0000,27.9,,22,
82795,27/07/2016,1200,,17.8,,
82795,28/07/2016,0000,25.9,,21.62,
82795,28/07/2016,1200,,17.8,,
82795,29/07/2016,0000,26.4,,20.68,
82795,29/07/2016,1200,,16.3,,
82795,30/07/2016,0000,27.2,,21.18,
82795,30/07/2016,1200,,17.2,,
82795,31/07/2016,0000,27.4,,21.08,
82795,31/07/2016,1200,,17.1,,
82795,01/08/2016,0000,27.7,,21.78,
82795,01/08/2016,1200,,17.6,,
82795,02/08/2016,0000,27.5,,21.32,
82795,02/08/2016,1200,,17.4,,
82795,03/08/2016,0000,28.4,,22.3,
82795,03/08/2016,1200,,18.6,,
82795,04/08/2016,0000,28.8,,21.8,
82795,04/08/2016,1200,,17.1,,
82795,05/08/2016,0000,28.5,,22.08,
82795,05/08/2016,1200,,17.1,,
82795,06/08/2016,0000,29.7,,22.24,
82795,06/08/2016,1200,,17.4,,
82795,07/08/2016,0000,30.5,,22.62,
82795,07/08/2016,1200,,17.6,,
82795,08/08/2016,0000,29.3,,22,
82795,08/08/2016,1200,,17.4,,
82795,09/08/2016,0000,29.4,,22.1,
82795,09/08/2016,1200,,17.3,,
82795,10/08/2016,0000,29,,22.02,
82795,10/08/2016,1200,,17.9,,
82795,11/08/2016,0000,29.9,,22.54,
82795,11/08/2016,1200,,17.4,,
82795,12/08/2016,0000,29,,22.22,
82795,12/08/2016,1200,,18,,
82795,13/08/2016,0000,28.6,,22.12,
82795,13/08/2016,1200,,17.3,,
82795,14/08/2016,0000,29.4,,22.38,
82795,14/08/2016,1200,,17.4,,
82795,15/08/2016,0000,30,,22.88,
82795,15/08/2016,1200,,18.4,,
82795,16/08/2016,0000,30.3,,23.2,
82795,16/08/2016,1200,,19.2,,
82795,17/08/2016,0000,30,,22.86,
82795,17/08/2016,1200,,18.8,,
82795,18/08/2016,0000,28.9,,22.26,
82795,18/08/2016,1200,,17.8,,
82795,19/08/2016,0000,29.7,,23.22,
82795,19/08/2016,1200,,18.6,,
82795,20/08/2016,0000,27.3,,22.14,
82795,20/08/2016,1200,,19.1,,
82795,21/08/2016,0000,29,,22.32,
82795,21/08/2016,1200,,18,,
82795,22/08/2016,1200,,18.6,,
82795,23/08/2016,0000,29.7,,22.66,
82795,23/08/2016,1200,,18.8,,
82795,24/08/2016,0000,30.6,,23.04,
82795,24/08/2016,1200,,18.3,,
82795,25/08/2016,0000,29.1,,22.54,
82795,25/08/2016,1200,,17.3,,
82795,26/08/2016,0000,29.4,,22.38,
82795,26/08/2016,1200,,17,,
82795,27/08/2016,0000,28.5,,22.12,
82795,27/08/2016,1200,,17.8,,
82795,28/08/2016,0000,27.4,,21.58,
82795,28/08/2016,1200,,17.8,,
82795,29/08/2016,0000,29.5,,22.56,
82795,29/08/2016,1200,,17.6,,
82795,30/08/2016,0000,29.5,,23.06,
82795,30/08/2016,1200,,18.6,,
82795,31/08/2016,0000,27.6,,21.78,
82795,31/08/2016,1200,,18.4,,
82795,01/09/2016,0000,28.7,,22.44,
82795,01/09/2016,1200,,18.5,,
82795,02/09/2016,0000,28.2,,22.02,
82795,02/09/2016,1200,,18.3,,
82795,03/09/2016,0000,29.1,,22.48,
82795,03/09/2016,1200,,18.9,,
82795,04/09/2016,0000,29.6,,22.62,
82795,04/09/2016,1200,,19.2,,
82795,05/09/2016,0000,29.6,,22.62,
82795,05/09/2016,1200,,19,,
82795,06/09/2016,0000,29.4,,22.36,
82795,06/09/2016,1200,,18.4,,
82795,07/09/2016,0000,29.7,,22.56,
82795,07/09/2016,1200,,18.2,,
82795,08/09/2016,0000,29.8,,22.52,
82795,08/09/2016,1200,,17.9,,
82795,09/09/2016,0000,30.2,,22.7,
82795,09/09/2016,1200,,17.3,,
82795,10/09/2016,0000,26.9,,21.58,
82795,10/09/2016,1200,,18.1,,
82795,11/09/2016,0000,25.7,,21.1,
82795,11/09/2016,1200,,18,,
82795,12/09/2016,0000,27.4,,22.06,
82795,12/09/2016,1200,,18.5,,
82795,13/09/2016,0000,29.6,,22.18,
82795,13/09/2016,1200,,17.2,,
82795,14/09/2016,0000,29.8,,22.84,
82795,14/09/2016,1200,,18.5,,
82795,15/09/2016,0000,30.4,,23,
82795,15/09/2016,1200,,18.4,,
82795,16/09/2016,0000,30.4,,23.3,
82795,16/09/2016,1200,,19,,
82795,17/09/2016,0000,29.3,,23.04,
82795,17/09/2016,1200,,19.2,,
82795,18/09/2016,0000,30.2,,22.7,
82795,18/09/2016,1200,,17.8,,
82795,19/09/2016,0000,30.7,,23.1,
82795,19/09/2016,1200,,17.3,,
82795,20/09/2016,0000,30.9,,23.22,
82795,20/09/2016,1200,,17.8,,
82795,21/09/2016,0000,31.5,,23.6,
82795,21/09/2016,1200,,19.6,,
82795,22/09/2016,0000,31.8,,23.98,
82795,22/09/2016,1200,,19.8,,
82795,23/09/2016,0000,30.9,,23.78,
82795,23/09/2016,1200,,19.7,,
82795,24/09/2016,0000,30.5,,23.18,
82795,24/09/2016,1200,,18.8,,
82795,25/09/2016,0000,30.2,,23,
82795,25/09/2016,1200,,18.9,,
82795,26/09/2016,0000,31.4,,23.44,
82795,26/09/2016,1200,,18.5,,
82795,27/09/2016,1200,,18.8,,
82795,28/09/2016,0000,31.1,,23.84,
82795,28/09/2016,1200,,19.5,,
82795,29/09/2016,0000,31.4,,23.64,
82795,29/09/2016,1200,,19.1,,
82795,30/09/2016,0000,30.7,,23.88,
82795,30/09/2016,1200,,19.3,,
82795,01/10/2016,0000,31.1,,23.94,
82795,01/10/2016,1200,,19.6,,
82795,02/10/2016,0000,30.1,,23.32,
82795,02/10/2016,1200,,19.4,,
82795,03/10/2016,0000,30,,23.4,
82795,03/10/2016,1200,,19.3,,
82795,04/10/2016,0000,30.4,,23.38,
82795,04/10/2016,1200,,18.8,,
82795,05/10/2016,0000,32.3,,24.1,
82795,05/10/2016,1200,,19.3,,
82795,06/10/2016,0000,32.6,,24.18,
82795,06/10/2016,1200,,19.2,,
82795,07/10/2016,0000,32,,24.5,
82795,07/10/2016,1200,,19.3,,
82795,08/10/2016,0000,32.2,,24.22,
82795,08/10/2016,1200,,19.6,,
82795,09/10/2016,0000,31.1,,24,
82795,09/10/2016,1200,,19.5,,
82795,10/10/2016,0000,31.1,,24.1,
82795,10/10/2016,1200,,19.6,,
82795,11/10/2016,0000,30,,23.88,
82795,11/10/2016,1200,,19.5,,
82795,12/10/2016,0000,29.7,,22.38,
82795,12/10/2016,1200,,18.8,,
82795,13/10/2016,0000,29.5,,23.4,
82795,13/10/2016,1200,,18.9,,
82795,14/10/2016,0000,29.6,,23.56,
82795,14/10/2016,1200,,19.1,,
82795,15/10/2016,0000,30.4,,23.4,
82795,15/10/2016,1200,,18.8,,
82795,16/10/2016,0000,30.7,,24.02,
82795,16/10/2016,1200,,19.5,,
82795,17/10/2016,0000,30.9,,23.62,
82795,17/10/2016,1200,,19.3,,
82795,18/10/2016,0000,31.6,,23.9,
82795,18/10/2016,1200,,19,,
82795,19/10/2016,0000,31.6,,24,
82795,19/10/2016,1200,,19.3,,
82795,20/10/2016,0000,31.5,,24.06,
82795,20/10/2016,1200,,19.6,,
82795,21/10/2016,0000,30.7,,23.78,
82795,21/10/2016,1200,,19.9,,
82795,22/10/2016,0000,30.3,,23.56,
82795,22/10/2016,1200,,19.6,,
82795,23/10/2016,0000,30.8,,23.88,
82795,23/10/2016,1200,,19.1,,
82795,24/10/2016,0000,30.6,,23.92,
82795,24/10/2016,1200,,19.3,,
82795,25/10/2016,0000,30.9,,23.4,
82795,25/10/2016,1200,,19.3,,
82795,26/10/2016,0000,30.7,,23.82,
82795,26/10/2016,1200,,19.8,,
82795,27/10/2016,0000,30.8,,23.78,
82795,27/10/2016,1200,,19.6,,
82795,28/10/2016,0000,31.8,,23.98,
82795,28/10/2016,1200,,18.8,,
82795,29/10/2016,0000,32,,24.4,
82795,29/10/2016,1200,,19.4,,
82795,30/10/2016,0000,32.2,,24.3,
82795,30/10/2016,1200,,19.7,,
82795,31/10/2016,0000,30.7,,24.02,
82795,31/10/2016,1200,,19.9,,
82795,01/11/2016,0000,30.6,,24.14,
82795,01/11/2016,1200,,19.8,,
82795,02/11/2016,0000,29.9,,23.86,
82795,02/11/2016,1200,,19.7,,
82795,03/11/2016,0000,30.5,,23.92,
82795,03/11/2016,1200,,19.6,,
82795,04/11/2016,0000,31,,24.26,
82795,04/11/2016,1200,,19.3,,
82795,05/11/2016,0000,29.8,,23.42,
82795,05/11/2016,1200,,19.3,,
82795,06/11/2016,0000,29,,23.36,
82795,06/11/2016,1200,,19.5,,
82795,07/11/2016,0000,31.2,,23.8,
82795,07/11/2016,1200,,19.6,,
82795,08/11/2016,0000,30.4,,23.84,
82795,08/11/2016,1200,,19.9,,
82795,09/11/2016,0000,30.3,,24.26,
82795,09/11/2016,1200,,20.5,,
82795,10/11/2016,0000,30.6,,24.08,
82795,10/11/2016,1200,,20.3,,
82795,11/11/2016,0000,31.1,,24.22,
82795,11/11/2016,1200,,20.3,,
82795,12/11/2016,0000,31.3,,24.18,
82795,12/11/2016,1200,,19.8,,
